100,0.0
125,50.0
150,95.0
175,125.0
200,170.0
225,290.0
250,380.0
275,440.0
300,530.0
325,590.0
350,680.0
375,740.0
400,830.0
425,890.0
450,980.0
475,1040.0
500,1130.0
525,1912.0
550,2110.0
575,2242.0
600,2440.0
625,2572.0
650,2770.0
675,2902.0
700,3100.0
725,3232.0
750,3430.0
775,3562.0
800,3760.0
825,3892.0
850,4090.0
875,4222.0
900,4420.0
925,4552.0
950,4750.0
975,4882.0
1000,5080.0
1025,5212.0
1050,5410.0
1075,5542.0
1100,5740.0
1125,5872.0
1150,6070.0
1175,6202.0
1200,6400.0
1225,6532.0
1250,6730.0
1275,6862.0
1300,7060.0
1325,7192.0
1350,7390.0
1375,7522.0
1400,7720.0
1425,7852.0
1450,8050.0
1475,8182.0
1500,8380.0
1525,8512.0
1550,8710.0
1575,8842.0
1600,9040.0
1625,9172.0
1650,9370.0
1675,9502.0
1700,9700.0
1725,9832.0
1750,10030.0
1775,10162.0
1800,10360.0
1825,10492.0
1850,10690.0
1875,10822.0
1900,11020.0
1925,11152.0
1950,11350.0
1975,11482.0
100,0.0
200,170.0
300,530.0
400,830.0
500,1130.0
600,2440.0
700,3100.0
800,3760.0
900,4420.0
1000,5080.0
1100,5740.0
1200,6400.0
1300,7060.0
1400,7720.0
1500,8380.0
1600,9040.0
1700,9700.0
1800,10360.0
1900,11020.0
